epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.578,1.31788,3.26776,1.42926,0,0,0,0,0,78.576,0,0.00027151,0.00027151,0.00027151
2,296.122,1.32173,2.40006,1.34925,0,0,0,0,0,74.861,0,0.000546275,0.000546275,0.000546275
3,448.402,1.29397,2.07971,1.31181,0,0,0,0,0,80.8298,0,0.000809723,0.000809723,0.000809723
4,609.02,1.37628,2.07112,1.37913,0,0,0,0,0,89.6688,0,0.00106185,0.00106185,0.00106185
5,763.056,1.23338,2.09319,1.36766,0,0,0,0,0,90.6249,0,0.00130266,0.00130266,0.00130266
